Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0805_2012Metric,166.1,-89.1125,-90,bottom
C3,100nF,C_0805_2012Metric,157.538764,-66.754863,162,bottom
D1,1N4148W,D_SOD-123,173.8,-119,-135,bottom
J6,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,116.175201,-69.67988,-58,bottom
J7,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,147.2,-66.5,121.5,bottom
J10,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,121.7,-78.6,-58,bottom
J12,B3B-XH-A(LF)(SN),JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,121.04788,-105.066059,-145,bottom
Q1,2N2222AU,SOT-89-3,176.7,-116.2,-225,bottom
R1,10K,R_0805_2012Metric,162.645235,-113.254765,45,bottom
R2,330,R_0805_2012Metric,125.623387,-120.347476,-55,bottom
R3,100K,R_0805_2012Metric,168.2,-85.3,90,bottom
R4,100K,R_0805_2012Metric,168.2,-89.1125,90,bottom
R5,1K,R_0805_2012Metric,178.55,-110.3,-135,bottom
R6,10K,R_0805_2012Metric,160.419201,-69.945934,-18,bottom
TH1,10K NTC,R_0805_2012Metric,156.867839,-68.781978,162,bottom
